strategy,date,code,name,regime_primary,topic,excess_5d,excess_3d,fwd_ret_5d,entry_proxy_5d,MAE_5d,MFE_5d,has_outcome
sw_no_fake_no_riskoff,2026-04-20,5871,中租-KY,mixed,銀行金融,-0.10524665302986003,-0.012104289100295373,-0.033333333333333326,-0.012765957446808529,-0.033333333333333326,0.012499999999999956,True
sw_no_fake_no_riskoff,2026-04-20,6753,龍德造船,mixed,國防軍工,-0.08927443080763786,-0.010020955766961936,-0.01736111111111116,-0.0035211267605633756,-0.02430555555555558,0.01041666666666674,True
sw_no_fake_no_riskoff,2026-04-20,6756,威鋒電子,mixed,HPC 與網通 IC,0.015428452455372055,0.03525858009801697,0.08734177215189876,0.045012165450121655,0.040506329113924044,0.14430379746835453,True
sw_no_fake_no_riskoff,2026-04-20,6805,富世達,mixed,精密機構件,0.020434965263895544,-0.012522055151306777,0.09234828496042224,0.08093994778067892,0.0079155672823219,0.09234828496042224,True
sw_no_fake_no_riskoff,2026-04-21,1717,長興,inst_push,AI 先進封裝,-0.10666007884366657,-0.07489942954903506,-0.05569306930693074,-0.07738814993954057,-0.06806930693069302,0.023514851485148647,True
sw_no_fake_no_riskoff,2026-04-21,1723,中碳,inst_push,電池材料,-0.11099101914057741,-0.06290651357076249,-0.06002400960384158,-0.04628501827040188,-0.061224489795918324,-0.014405762304921965,True
sw_no_fake_no_riskoff,2026-04-21,2049,上銀,inst_push,工業自動化,-0.05096700953673583,-0.0602124126745901,0.0,-0.036800000000000055,-0.02491694352159468,0.038205980066445155,True
sw_no_fake_no_riskoff,2026-04-21,2317,鴻海,inst_push,AI 伺服器組裝,0.0177533696101837,0.014467564022359936,0.06872037914691953,0.020361990950226172,0.04739336492891,0.08056872037914697,True
sw_no_fake_no_riskoff,2026-04-21,2324,仁寶,inst_push,AI 伺服器組裝,-0.101841413352316,-0.07186144689544371,-0.05087440381558017,-0.08854961832061059,-0.05087440381558017,0.04133545310015907,True
sw_no_fake_no_riskoff,2026-04-21,2454,聯發科,inst_push,HPC 與網通 IC,0.20022916271206803,0.12977630118193284,0.25119617224880386,0.13943355119825718,0.05980861244019131,0.25119617224880386,True
sw_no_fake_no_riskoff,2026-04-21,2612,中航,inst_push,貨櫃航運,-0.12093287984390311,-0.08819649304378041,-0.06996587030716728,-0.06034482758620685,-0.06996587030716728,-0.010238907849829393,True
sw_no_fake_no_riskoff,2026-04-21,6230,尼得科超眾,inst_push,液冷散熱,-0.06323694818704262,-0.004620622527228502,-0.012269938650306789,-0.033033033033033066,-0.06134969325153372,0.030674846625766916,True
sw_no_fake_no_riskoff,2026-04-22,2303,聯電,regulatory,晶圓代工,-0.0897839575891094,-0.12095142232204581,-0.05216284987277342,0.012228260869565188,-0.07506361323155208,-0.04452926208651398,True
sw_no_fake_no_riskoff,2026-04-22,2303,聯電,regulatory,晶圓代工,-0.0897839575891094,-0.12095142232204581,-0.05216284987277342,0.012228260869565188,-0.07506361323155208,-0.04452926208651398,True
sw_no_fake_no_riskoff,2026-04-22,2338,光罩,regulatory,晶圓廠設備,-0.12352844362367177,-0.13855190175458632,-0.08590733590733579,-0.025720164609053464,-0.09266409266409259,-0.06177606177606165,True
sw_no_fake_no_riskoff,2026-04-22,2453,凌群,regulatory,系統整合,-0.0787660093263538,-0.0941883457631233,-0.041144901610017826,-0.0037174721189590088,-0.04830053667262957,-0.03398926654740608,True
sw_no_fake_no_riskoff,2026-04-22,4961,天鈺,regulatory,顯示驅動 IC,-0.10862702487609932,-0.10505940672362979,-0.07100591715976334,-0.030864197530864224,-0.07100591715976334,-0.041420118343195256,True
sw_no_fake_no_riskoff,2026-04-22,6835,圓裕,regulatory,軟板,-0.045102404474440805,-0.07456611332989516,-0.007481296758104827,0.041884816753926524,-0.04738154613466328,-0.007481296758104827,True
sw_no_fake_no_riskoff,2026-04-22,8070,長華*,regulatory,封裝材料,-0.09019946969813575,-0.0984661710722935,-0.05257836198179977,-0.007415254237288171,-0.05763397371081902,-0.04550050556117291,True
sw_no_fake_no_riskoff,2026-04-23,4927,泰鼎-KY,regulatory,PCB 硬板,-0.07082323974669491,0.040469360009761646,-0.03867403314917117,-0.02063789868667909,-0.03867403314917117,0.08839779005524862,True
sw_no_fake_no_riskoff,2026-04-23,8033,雷虎,regulatory,國防軍工,-0.12932788998310363,-0.14197231719282244,-0.09717868338557989,-0.06796116504854366,-0.10344827586206895,-0.031347962382445194,True
sw_no_fake_no_riskoff,2026-04-23,8033,雷虎,regulatory,國防軍工,-0.12932788998310363,-0.14197231719282244,-0.09717868338557989,-0.06796116504854366,-0.10344827586206895,-0.031347962382445194,True
sw_no_fake_no_riskoff,2026-04-28,2374,佳能,leverage_relay,AI 機器人,0.04253009524574147,0.09180775174747158,0.08344733242134073,0.05600000000000005,0.0259917920656636,0.12175102599179222,True
sw_no_fake_no_riskoff,2026-04-29,2342,茂矽,regulatory,第三代半導體,0.3469238695712167,0.1842443274282679,0.413846153846154,0.36755952380952395,0.03384615384615386,0.413846153846154,True
sw_no_fake_no_riskoff,2026-04-29,2342,茂矽,regulatory,第三代半導體,0.3469238695712167,0.1842443274282679,0.413846153846154,0.36755952380952395,0.03384615384615386,0.413846153846154,True
