date,day_mean_excess,n,cum_excess
2024-07-26,0.005674058491163425,1,0.6145397750946481
2024-07-30,-0.0616683599185501,4,0.552871415176098
2024-07-31,-0.018485460041326562,1,0.5343859551347714
2024-08-01,0.025991203104434337,7,0.5603771582392058
2024-08-06,0.04969505220987062,3,0.6100722104490763
2024-08-07,-0.04790852298941395,2,0.5621636874596624
2024-08-09,-0.017431041170135015,9,0.5447326462895273
2024-08-12,0.017426303202349967,10,0.5621589494918773
2024-08-13,0.00902048736205846,8,0.5711794368539358
2024-08-14,-0.0005702972321626088,10,0.5706091396217732
2024-08-15,-0.0034724918272534323,10,0.5671366477945198
2024-08-16,0.006691646843706933,5,0.5738282946382267
2024-08-19,0.015173565372934877,4,0.5890018600111616
2024-08-20,-0.002383815333836359,1,0.5866180446773253
2024-08-21,0.05978887122054716,2,0.6464069158978725
2024-08-22,-5.702492388217258e-05,6,0.6463498909739903
2024-08-23,0.02332844371309023,2,0.6696783346870805
2024-08-26,0.028471515684689596,5,0.6981498503717701
2024-08-29,-0.05053486767680504,5,0.6476149826949651
2024-08-30,-0.03633723299446967,3,0.6112777497004954
2024-09-02,-0.022403885658900002,4,0.5888738640415954
2024-09-09,0.05049860129477479,1,0.6393724653363702
2024-09-11,-0.044004917922025766,2,0.5953675474143444
2024-09-12,-0.023107008895484376,3,0.57226053851886
2024-09-13,0.006181591339020476,5,0.5784421298578806
2024-09-16,-0.011338966397389058,8,0.5671031634604915
2024-09-18,-0.05034556823697748,3,0.516757595223514
2024-09-19,-0.024412549057126386,10,0.4923450461663877
2024-09-20,-0.011133067993644392,9,0.4812119781727433
2024-09-23,0.0004916535552414669,10,0.48170363172798475
2024-09-24,-0.02601000315283397,1,0.4556936285751508
2024-09-25,0.009282643701585491,10,0.46497627227673627
2024-09-26,-0.0025249354748042574,2,0.462451336801932
2024-09-27,-0.02995443432193777,9,0.4324969024799942
2024-09-30,-0.07434678124715433,1,0.3581501212328399
2024-10-01,-0.08393694586623329,2,0.2742131753666066
2024-10-04,-0.046639660709722496,6,0.2275735146568841
2024-10-07,-0.0353753721368133,9,0.1921981425200708
2024-10-09,0.020940386853925408,2,0.21313852937399622
2024-10-11,-0.016347256051380543,5,0.19679127332261567
2024-10-14,0.00035581666178585714,10,0.19714708998440153
2024-10-15,0.01702908331484118,8,0.2141761732992427
2024-10-16,0.021875298902141276,9,0.23605147220138398
2024-10-17,-0.015584717409103074,6,0.2204667547922809
2024-10-18,-0.020021945724399897,3,0.200444809067881
2024-10-21,-0.0015089752069188834,10,0.1989358338609621
2024-10-22,-0.01972032768840873,4,0.17921550617255338
2024-10-23,0.005564814015358355,1,0.18478032018791174
2024-10-25,-0.031066313763329134,2,0.1537140064245826
2024-10-28,0.012566129452931896,1,0.1662801358775145
2024-11-01,-0.06260162330900224,4,0.10367851256851227
2024-11-05,-0.004360750154086435,6,0.09931776241442583
2024-11-06,-0.015689968593153913,2,0.08362779382127192
2024-11-07,0.0003555768402922567,7,0.08398337066156418
2024-11-08,0.04168848799745328,4,0.12567185865901748
2024-11-11,0.023496814696480323,4,0.1491686733554978
2024-11-12,-0.005805688503098205,2,0.1433629848523996
2024-11-13,0.02277565000117976,2,0.16613863485357935
2024-11-14,0.010556763621557497,2,0.17669539847513685
2024-11-15,-0.022306884467732525,10,0.15438851400740433
2024-11-18,-0.05636614400003781,1,0.09802237000736652
2024-11-19,0.023915565586334384,8,0.1219379355937009
2024-11-21,0.009272865051754814,4,0.1312108006454557
2024-11-22,0.007067505589535094,10,0.1382783062349908
2024-11-25,0.0014240281585424452,10,0.13970233439353325
2024-11-26,-0.0392104504589309,2,0.10049188393460234
2024-11-27,-0.08197489615303372,2,0.018516987781568628
2024-11-29,0.11672771394530335,1,0.13524470172687197
2024-12-02,-0.003846249882958928,7,0.13139845184391305
2024-12-03,-0.026819931647945938,1,0.10457852019596711
2024-12-04,0.037099351164049346,5,0.14167787136001647
2024-12-05,-0.06328074573583686,1,0.07839712562417961
2024-12-09,0.05530955147510219,1,0.1337066770992818
2024-12-10,-0.0068642148369378875,1,0.1268424622623439
2024-12-11,0.08107273109149471,2,0.20791519335383862
2024-12-12,0.05402692503293538,1,0.261942118386774
2024-12-17,-0.006008702993001602,1,0.2559334153937724
2024-12-18,0.09448987896391281,2,0.3504232943576852
2024-12-19,0.0032842068135783276,1,0.35370750117126354
2024-12-20,-0.048524122331077724,4,0.3051833788401858
2024-12-23,-0.002950546793032238,10,0.30223283204715357
2024-12-24,0.0125449425668774,3,0.31477777461403095
2024-12-25,-0.0005357835708201253,6,0.3142419910432108
2024-12-26,-0.004158418433450606,2,0.3100835726097602
2024-12-27,-0.023653068320921622,3,0.2864305042888386
2024-12-30,-0.05387643964971711,1,0.23255406463912148
2024-12-31,-0.02788231742466185,2,0.20467174721445963
2025-01-02,-0.02430164066917928,1,0.18037010654528035
2025-01-03,-0.12724475949403702,2,0.05312534705124333
2025-01-06,-0.034352639468977264,5,0.01877270758226607
2025-01-07,-0.05156491033602495,1,-0.03279220275375888
2025-01-08,-0.01255038115013593,4,-0.04534258390389481
2025-01-10,-0.05572800009042034,3,-0.10107058399431515
2025-01-13,0.021249634870083023,2,-0.07982094912423213
2025-01-14,0.02703292797544514,8,-0.05278802114878699
2025-01-15,-0.01231141307565653,3,-0.06509943422444352
2025-01-16,0.00837236464776465,7,-0.05672706957667887
2025-01-17,0.0422855014077244,5,-0.01444156816895447
2025-01-20,-0.0026019269770789083,8,-0.01704349514603338
2025-01-21,0.03255992308266431,3,0.015516427936630932
2025-01-22,0.019267875449922076,8,0.03478430338655301
2025-02-03,-0.017071474906912076,1,0.01771282847964093
2025-02-04,-0.021686317727307225,1,-0.003973489247666294
2025-02-05,0.037344428802836185,9,0.03337093955516989
2025-02-06,0.011781071844053886,4,0.04515201139922378
2025-02-07,0.03455031765637521,10,0.07970232905559899
2025-02-10,0.029421131674980283,4,0.10912346073057927
2025-02-11,0.029484335214880274,5,0.13860779594545955
2025-02-12,0.05220077839463855,3,0.1908085743400981
2025-02-13,0.015340696849075875,10,0.20614927118917398
2025-02-14,-0.02285302574551214,6,0.18329624544366183
2025-02-17,0.01247874868590646,10,0.19577499412956828
2025-02-18,0.009542976382394134,3,0.2053179705119624
2025-02-19,0.032370888328722494,9,0.2376888588406849
2025-02-21,-0.024160768594447903,7,0.213528090246237
2025-02-24,0.04315187079588949,5,0.2566799610421265
2025-02-26,0.05204521299742515,1,0.30872517403955163
2025-02-27,0.04136994479001316,2,0.3500951188295648
